loan_id;amount;duration;disposition_no;junior_card_no;classic_card_no;gold_card_no;dist. no. of inhabitants;dist. no. of municipalities with inhabitants < 499;dist. no. of municipalities with inhabitants 500-1999;dist. no. of municipalities with inhabitants 2000-9999;dist. no. of municipalities with inhabitants >10000;dist. no. of cities;dist. ratio of urban inhabitants;dist. average salary;dist. unemploymant rate 96;dist. no. of enterpreneurs per 1000 inhabitants;dist. no. of commited crimes 96
5895;93960;60;1;0;0;0;77917;85;19;6;1;5;53.5;8390;2.89;132;2122
7122;260640;36;1;0;0;0;58400;65;16;4;1;6;52.4;8620;1.25;100;1117
6173;232560;48;1;0;0;0;177686;69;27;10;1;9;74.8;10045;1.71;135;6295
6142;221880;60;2;0;0;0;81344;61;23;4;2;6;55.3;8899;3.97;149;2487
5358;38520;12;1;0;0;0;95907;87;25;5;2;7;59.1;8388;2.94;87;1668
6095;68340;60;1;0;0;0;149893;63;29;6;2;6;67.4;9753;5.05;109;5892
6878;23184;12;1;0;0;0;161954;21;37;20;3;8;48.0;8720;4.50;116;3651
6554;390096;48;2;0;0;0;112709;48;20;7;3;10;73.5;8369;2.31;117;2618
6793;186300;60;1;0;0;0;86513;38;36;5;1;5;50.5;8288;4.52;110;1460
7286;67320;36;1;0;0;0;95616;65;30;4;1;6;51.4;9307;4.43;118;3040
6076;117420;60;1;0;0;0;75685;31;28;5;1;9;60.8;8208;2.26;155;2123
5134;53076;12;1;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
5419;415800;60;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6255;247920;48;1;0;0;0;106054;38;25;6;2;6;63.1;8110;6.55;109;3079
5656;146064;24;1;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
6934;116832;12;2;0;0;0;103347;87;16;7;1;7;67.0;9104;2.07;123;2354
6028;317520;60;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
6490;73260;60;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
6415;475680;48;2;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
7087;44304;24;1;0;0;0;85852;41;23;4;2;4;59.8;8965;8.23;104;2822
5420;72504;24;1;0;0;0;122603;25;21;6;2;8;80.0;8991;2.01;128;5273
5977;59136;48;1;0;0;0;170449;0;0;0;1;1;100.0;10787;3.09;131;6261
6824;71976;24;1;0;0;0;161854;73;21;6;1;6;76.3;9425;2.50;125;3891
5207;35904;48;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
7115;88704;48;2;0;0;0;87419;21;11;4;3;9;85.5;8624;2.66;102;3198
7250;119136;48;1;0;0;0;114006;71;26;6;2;9;62.3;9065;5.39;123;4166
6010;150180;60;1;0;0;0;110643;49;41;4;1;4;51.9;8441;4.48;115;2252
6088;90180;36;1;0;0;0;72541;66;26;10;0;8;36.9;8594;2.01;112;1525
5682;67464;12;1;0;0;0;125236;28;11;1;4;5;87.7;9675;7.68;100;5190
7201;67464;12;1;0;0;0;125236;28;11;1;4;5;87.7;9675;7.68;100;5190
6938;341280;60;1;0;0;0;81344;61;23;4;2;6;55.3;8899;3.97;149;2487
6875;83280;48;1;0;0;0;114006;71;26;6;2;9;62.3;9065;5.39;123;4166
5953;97176;24;1;0;0;0;112065;95;19;7;1;8;69.4;11277;1.44;127;4987
5942;162624;48;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5382;22932;36;1;0;0;0;139012;59;41;8;3;10;61.9;8363;3.49;108;2799
6377;17184;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5931;66696;24;1;0;0;0;75232;55;26;4;1;5;41.7;8980;2.21;111;2813
5992;76080;12;1;0;0;0;95616;65;30;4;1;6;51.4;9307;4.43;118;3040
5790;84288;48;1;0;0;0;161954;21;37;20;3;8;48.0;8720;4.50;116;3651
6753;67980;12;1;0;0;0;125832;151;41;2;3;5;48.3;8512;4.12;102;2103
6562;94488;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
7046;91632;12;2;0;0;0;74062;99;15;4;2;7;61.4;8114;2.62;119;1181
5868;90156;12;2;0;0;0;42821;4;13;5;1;3;48.4;8173;7.01;124;1358
5784;84600;36;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5878;74040;12;1;0;0;0;182027;17;49;12;2;7;56.4;8746;3.74;90;4433
5110;102240;60;2;0;0;0;109164;98;16;6;1;4;63.6;8757;3.95;96;2471
5210;148140;36;1;0;0;0;53921;61;22;1;1;2;41.3;8598;3.26;123;1875
7230;18720;60;2;0;0;0;88757;60;33;3;2;10;61.7;8554;2.68;113;2218
5005;27456;12;1;0;0;0;161227;5;35;11;4;10;69.7;8678;5.57;102;4595
6871;164256;48;2;0;0;0;75637;35;36;9;0;7;36.5;9622;0.59;154;3529
5363;293880;60;1;0;0;0;197099;29;41;10;2;10;74.7;9624;2.31;145;4265
7253;98304;12;1;0;0;0;93931;74;21;10;1;8;56.9;8427;1.54;107;1913
6055;399120;60;1;0;0;0;138032;67;30;4;2;5;64.6;8819;5.66;99;4505
5072;196800;24;1;0;0;0;112065;95;19;7;1;8;69.4;11277;1.44;127;4987
6913;99936;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6386;124344;36;1;0;0;0;161854;73;21;6;1;6;76.3;9425;2.50;125;3891
5634;39024;12;1;0;0;0;197099;29;41;10;2;10;74.7;9624;2.31;145;4265
5758;307200;60;1;0;0;0;107911;88;33;6;2;7;50.9;8240;3.56;99;1903
6819;50112;24;1;0;0;0;162580;83;26;5;1;6;72.8;9538;1.81;111;5410
7088;239160;60;1;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
5039;66840;24;2;0;0;0;58796;22;16;7;1;5;51.9;9045;3.60;124;1879
5532;335280;48;1;0;0;0;161954;21;37;20;3;8;48.0;8720;4.50;116;3651
6037;53232;48;1;0;0;0;226122;32;50;7;4;4;62.6;8994;4.79;110;9208
6322;76992;24;1;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
6887;39576;12;2;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
6660;220428;36;1;0;0;0;106054;38;25;6;2;6;63.1;8110;6.55;109;3079
5451;159744;48;1;0;0;0;70699;60;13;2;1;4;65.3;8968;3.35;131;1910
6014;165168;36;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5556;268320;60;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6346;100260;60;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5850;164196;36;1;0;0;0;197099;29;41;10;2;10;74.7;9624;2.31;145;4265
5940;106944;24;1;0;0;0;86513;38;36;5;1;5;50.5;8288;4.52;110;1460
7119;86880;12;1;0;0;0;103347;87;16;7;1;7;67.0;9104;2.07;123;2354
5253;100080;48;1;0;0;0;114200;101;41;4;1;4;43.7;8403;5.72;105;2718
6851;272220;60;1;0;0;0;170449;0;0;0;1;1;100.0;10787;3.09;131;6261
6695;309660;60;2;0;0;0;121947;37;28;7;3;11;70.5;8541;2.97;131;3839
6908;188616;24;2;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
7255;213300;60;1;0;0;0;72541;66;26;10;0;8;36.9;8594;2.01;112;1525
5674;207264;48;2;0;0;0;95907;87;25;5;2;7;59.1;8388;2.94;87;1668
6278;87360;24;1;0;0;0;95616;65;30;4;1;6;51.4;9307;4.43;118;3040
5486;466608;48;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
5174;385104;48;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
6621;42900;12;2;0;0;0;121947;37;28;7;3;11;70.5;8541;2.97;131;3839
6313;150912;36;2;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
6435;288720;48;1;0;0;0;121947;37;28;7;3;11;70.5;8541;2.97;131;3839
6970;31620;60;1;0;0;0;112065;95;19;7;1;8;69.4;11277;1.44;127;4987
6310;34572;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5932;33348;12;1;0;0;0;81344;61;23;4;2;6;55.3;8899;3.97;149;2487
6877;285240;60;2;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
6763;88272;48;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
7085;305424;48;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
7049;233424;36;1;0;0;0;149893;63;29;6;2;6;67.4;9753;5.05;109;5892
6959;59448;24;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5214;74772;36;1;0;0;0;157042;49;70;18;0;9;33.9;8743;2.43;111;3894
6350;294384;48;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5063;357840;48;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5041;369000;60;1;0;0;0;162580;83;26;5;1;6;72.8;9538;1.81;111;5410
5086;210384;48;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
6942;18324;12;2;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
5270;191088;48;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
6705;333648;48;1;0;0;0;177686;69;27;10;1;9;74.8;10045;1.71;135;6295
7051;77808;12;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6758;33144;12;2;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
6249;67608;24;2;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5808;41856;48;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5377;92400;12;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5446;48312;24;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
5856;51360;12;1;0;0;0;117897;139;28;5;1;6;53.8;8814;5.74;107;2059
4986;102876;12;2;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
7001;300600;60;1;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
6677;97980;60;1;0;0;0;45714;52;10;5;1;6;55.6;8843;3.60;113;888
6665;99300;60;1;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
5817;100800;24;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
6984;116040;60;2;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
6541;153504;48;1;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
5117;76944;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6097;202848;48;2;0;0;0;127369;31;32;13;2;7;51.2;8369;5.88;107;2807
5389;78600;24;1;0;0;0;121947;37;28;7;3;11;70.5;8541;2.97;131;3839
7219;57120;48;1;0;0;0;105058;32;19;7;2;10;81.0;9272;3.22;118;4505
6338;390660;60;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6922;83628;36;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5367;83628;36;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5638;68124;12;1;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
5830;405780;60;1;0;0;0;145688;22;41;13;2;5;40.7;8544;1.86;109;2906
5338;57360;12;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
6007;289920;48;1;0;0;0;133777;24;17;7;3;11;84.7;8705;7.61;116;4859
6612;97392;12;2;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5718;14028;12;1;0;0;0;107911;88;33;6;2;7;50.9;8240;3.56;99;1903
6104;158184;36;1;0;0;0;162580;83;26;5;1;6;72.8;9538;1.81;111;5410
5229;23520;12;2;0;0;0;107911;88;33;6;2;7;50.9;8240;3.56;99;1903
6625;473280;60;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5206;128544;24;1;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
5963;204780;60;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
4990;162576;36;1;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
6641;128268;36;1;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
5369;214596;36;2;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
6196;177804;36;1;0;0;0;95616;65;30;4;1;6;51.4;9307;4.43;118;3040
5236;389136;48;1;0;0;0;107911;88;33;6;2;7;50.9;8240;3.56;99;1903
5719;271584;48;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5643;94512;12;1;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
7050;311232;48;1;0;0;0;127369;31;32;13;2;7;51.2;8369;5.88;107;2807
6355;127200;48;1;0;0;0;88768;10;18;5;1;7;80.5;8867;1.21;130;3620
6688;8616;24;1;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
6239;360864;48;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
5531;66432;24;2;0;0;0;170449;0;0;0;1;1;100.0;10787;3.09;131;6261
6113;78696;36;1;0;0;0;226122;32;50;7;4;4;62.6;8994;4.79;110;9208
7181;197808;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6118;349392;48;1;0;0;0;161954;21;37;20;3;8;48.0;8720;4.50;116;3651
7264;44940;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5343;44952;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5051;230400;60;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
5779;107352;36;1;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
6605;79344;48;1;0;0;0;87419;21;11;4;3;9;85.5;8624;2.66;102;3198
6655;260400;60;1;0;0;0;182027;17;49;12;2;7;56.4;8746;3.74;90;4433
6534;590820;60;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5681;68664;24;2;0;0;0;109164;98;16;6;1;4;63.6;8757;3.95;96;2471
6607;153144;36;1;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
6242;26208;36;1;0;0;0;45714;52;10;5;1;6;55.6;8843;3.60;113;888
7242;48096;24;1;0;0;0;105058;32;19;7;2;10;81.0;9272;3.22;118;4505
7277;89280;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6675;238716;36;1;0;0;0;78955;50;24;8;1;9;59.0;9060;2.44;124;1717
5398;53472;12;2;0;0;0;81344;61;23;4;2;6;55.3;8899;3.97;149;2487
5956;168264;36;1;0;0;0;182027;17;49;12;2;7;56.4;8746;3.74;90;4433
5731;460980;60;1;0;0;0;75232;55;26;4;1;5;41.7;8980;2.21;111;2813
6956;59448;24;1;0;0;0;75637;35;36;9;0;7;36.5;9622;0.59;154;3529
6437;63972;36;1;0;0;0;157042;49;70;18;0;9;33.9;8743;2.43;111;3894
5447;541200;60;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5973;219456;48;2;0;0;0;112709;48;20;7;3;10;73.5;8369;2.31;117;2618
6075;129312;24;1;0;0;0;149893;63;29;6;2;6;67.4;9753;5.05;109;5892
5281;194256;24;1;0;0;0;42821;4;13;5;1;3;48.4;8173;7.01;124;1358
5103;12540;12;2;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
6468;203940;60;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
7209;385560;60;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
