loan_id;amount;duration;disposition_no;junior_card_no;classic_card_no;gold_card_no;dist. no. of inhabitants;dist. no. of municipalities with inhabitants < 499;dist. no. of municipalities with inhabitants 500-1999;dist. no. of municipalities with inhabitants 2000-9999;dist. no. of municipalities with inhabitants >10000;dist. no. of cities;dist. ratio of urban inhabitants;dist. average salary;dist. unemploymant rate 96;dist. no. of enterpreneurs per 1000 inhabitants;dist. no. of commited crimes 96
5584;24792;24;1;0;0;0;86513;38;36;5;1;5;50.5;8288;4.52;110;1460
4988;265320;36;1;0;0;0;105606;77;26;7;2;7;53.0;8254;3.76;97;2325
6502;30276;12;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
5651;19248;12;2;0;0;0;75232;55;26;4;1;5;41.7;8980;2.21;111;2813
4962;30276;12;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
5862;100128;24;1;0;0;0;323870;0;0;0;1;1;100.0;10673;5.44;100;18347
7199;45768;12;2;0;0;0;138032;67;30;4;2;5;64.6;8819;5.66;99;4505
6727;42840;12;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
7279;155760;24;1;0;0;0;133777;24;17;7;3;11;84.7;8705;7.61;116;4859
6544;130464;48;1;0;0;0;93931;74;21;10;1;8;56.9;8427;1.54;107;1913
5933;87528;24;2;0;0;0;148545;8;35;12;3;4;53.5;8909;5.56;113;3590
6574;77544;36;1;0;0;0;88884;80;26;6;2;5;46.7;8507;1.85;132;2674
6399;49320;36;1;0;0;0;110643;49;41;4;1;4;51.9;8441;4.48;115;2252
7187;24180;60;1;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
6353;116496;24;1;0;0;0;117897;139;28;5;1;6;53.8;8814;5.74;107;2059
5043;468060;60;2;0;0;0;112709;48;20;7;3;10;73.5;8369;2.31;117;2618
5469;293160;60;1;0;0;0;139012;59;41;8;3;10;61.9;8363;3.49;108;2799
5976;465504;48;1;0;0;0;226122;32;50;7;4;4;62.6;8994;4.79;110;9208
6059;79824;12;1;0;0;0;53921;61;22;1;1;2;41.3;8598;3.26;123;1875
5799;106128;36;1;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
6147;177504;48;1;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
6254;247920;48;1;0;0;0;125236;28;11;1;4;5;87.7;9675;7.68;100;5190
7100;348120;60;1;0;0;0;42821;4;13;5;1;3;48.4;8173;7.01;124;1358
7147;267600;48;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5909;61320;60;1;0;0;0;124605;11;42;14;1;8;46.0;8772;4.98;126;3158
7037;218064;48;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5782;63576;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6237;407952;48;1;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
6552;170448;48;2;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
7067;136368;24;1;0;0;0;58400;65;16;4;1;6;52.4;8620;1.25;100;1117
5320;143676;36;1;0;0;0;157042;49;70;18;0;9;33.9;8743;2.43;111;3894
5930;66696;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6486;152160;60;2;0;0;0;74062;99;15;4;2;7;61.4;8114;2.62;119;1181
5245;125472;24;2;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
6643;35856;24;1;0;0;0;162580;83;26;5;1;6;72.8;9538;1.81;111;5410
5260;123300;36;1;0;0;0;118650;8;8;5;1;3;85.6;9832;4.48;114;5471
5569;504000;60;1;0;0;0;75232;55;26;4;1;5;41.7;8980;2.21;111;2813
7110;31260;12;2;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
7139;23412;12;2;0;0;0;226122;32;50;7;4;4;62.6;8994;4.79;110;9208
6791;566640;60;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5360;176328;36;2;0;0;0;107911;88;33;6;2;7;50.9;8240;3.56;99;1903
5287;64224;24;2;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
6553;42384;12;1;0;0;0;128118;9;16;6;3;8;85.3;9317;7.07;97;6872
7072;22104;12;1;0;0;0;125236;28;11;1;4;5;87.7;9675;7.68;100;5190
6044;57060;12;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
5332;37944;36;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6866;122472;24;1;0;0;0;42821;4;13;5;1;3;48.4;8173;7.01;124;1358
6633;160656;24;1;0;0;0;92084;55;29;4;3;5;46.7;10124;0.54;141;4316
6926;374760;60;2;0;0;0;182027;17;49;12;2;7;56.4;8746;3.74;90;4433
6442;194160;48;1;0;0;0;161954;21;37;20;3;8;48.0;8720;4.50;116;3651
5889;321240;60;1;0;0;0;177686;69;27;10;1;9;74.8;10045;1.71;135;6295
5765;153936;24;1;0;0;0;105606;77;26;7;2;7;53.0;8254;3.76;97;2325
5124;156096;36;1;0;0;0;103347;87;16;7;1;7;67.0;9104;2.07;123;2354
5491;428784;48;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6730;93036;12;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
7151;133800;24;1;0;0;0;107870;84;29;6;1;6;58.0;8754;4.31;137;3868
5140;178500;60;1;0;0;0;182027;17;49;12;2;7;56.4;8746;3.74;90;4433
7171;196224;48;1;0;0;0;127369;31;32;13;2;7;51.2;8369;5.88;107;2807
6568;220440;60;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
6861;215040;60;1;0;0;0;72541;66;26;10;0;8;36.9;8594;2.01;112;1525
6855;52236;36;2;0;0;0;81344;61;23;4;2;6;55.3;8899;3.97;149;2487
7129;194280;60;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5384;23328;12;2;0;0;0;95907;87;25;5;2;7;59.1;8388;2.94;87;1668
6859;272220;60;1;0;0;0;124605;11;42;14;1;8;46.0;8772;4.98;126;3158
5772;334620;60;2;0;0;0;139012;59;41;8;3;10;61.9;8363;3.49;108;2799
5665;40632;12;1;0;0;0;107870;84;29;6;1;6;58.0;8754;4.31;137;3868
6495;49044;12;1;0;0;0;75637;35;36;9;0;7;36.5;9622;0.59;154;3529
5061;84288;48;1;0;0;0;45714;52;10;5;1;6;55.6;8843;3.60;113;888
6948;157068;36;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5773;133848;24;1;0;0;0;114006;71;26;6;2;9;62.3;9065;5.39;123;4166
6052;22356;36;1;0;0;0;95616;65;30;4;1;6;51.4;9307;4.43;118;3040
6682;36204;12;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
6083;240528;48;1;0;0;0;162580;83;26;5;1;6;72.8;9538;1.81;111;5410
6962;279072;48;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5158;188532;36;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
6464;49488;24;1;0;0;0;161227;5;35;11;4;10;69.7;8678;5.57;102;4595
5172;50976;36;1;0;0;0;77917;85;19;6;1;5;53.5;8390;2.89;132;2122
5582;41256;12;2;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
6136;140880;60;1;0;0;0;58796;22;16;7;1;5;51.9;9045;3.60;124;1879
6235;321360;60;1;0;0;0;122603;25;21;6;2;8;80.0;8991;2.01;128;5273
6508;110736;48;1;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
4968;110736;48;1;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
6632;144960;48;1;0;0;0;81344;61;23;4;2;6;55.3;8899;3.97;149;2487
7195;339168;48;1;0;0;0;112709;48;20;7;3;10;73.5;8369;2.31;117;2618
5525;93888;36;2;0;0;0;88884;80;26;6;2;5;46.7;8507;1.85;132;2674
6320;104964;12;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
6766;74352;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6872;191580;60;1;0;0;0;121947;37;28;7;3;11;70.5;8541;2.97;131;3839
5906;81144;36;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
7172;45720;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6571;140064;24;1;0;0;0;51428;50;11;3;1;4;52.7;8402;3.98;120;1099
5616;130896;24;2;0;0;0;85852;41;23;4;2;4;59.8;8965;8.23;104;2822
6312;10944;36;1;0;0;0;125236;28;11;1;4;5;87.7;9675;7.68;100;5190
6470;49872;12;1;0;0;0;148545;8;35;12;3;4;53.5;8909;5.56;113;3590
5147;22260;60;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5501;136344;24;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6436;495180;60;1;0;0;0;42821;4;13;5;1;3;48.4;8173;7.01;124;1358
5699;174960;24;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
5313;43200;24;1;0;0;0;159617;29;19;8;1;9;85.2;9198;4.28;131;6132
6234;5148;12;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6569;45456;12;1;0;0;0;53921;61;22;1;1;2;41.3;8598;3.26;123;1875
7202;140688;48;2;0;0;0;93931;74;21;10;1;8;56.9;8427;1.54;107;1913
5683;140688;48;2;0;0;0;93931;74;21;10;1;8;56.9;8427;1.54;107;1913
5034;112752;36;1;0;0;0;161227;5;35;11;4;10;69.7;8678;5.57;102;4595
5435;314688;48;1;0;0;0;88884;80;26;6;2;5;46.7;8507;1.85;132;2674
5815;151200;36;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
5589;390000;48;1;0;0;0;95907;87;25;5;2;7;59.1;8388;2.94;87;1668
6746;185640;60;1;0;0;0;112709;48;20;7;3;10;73.5;8369;2.31;117;2618
6790;76104;24;2;0;0;0;145688;22;41;13;2;5;40.7;8544;1.86;109;2906
6857;69600;48;2;0;0;0;197099;29;41;10;2;10;74.7;9624;2.31;145;4265
6450;234336;48;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
7221;152460;60;1;0;0;0;88757;60;33;3;2;10;61.7;8554;2.68;113;2218
5527;156420;60;1;0;0;0;139012;59;41;8;3;10;61.9;8363;3.49;108;2799
5620;30012;12;1;0;0;0;78955;50;24;8;1;9;59.0;9060;2.44;124;1717
6215;78720;48;1;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
7167;269964;36;1;0;0;0;93931;74;21;10;1;8;56.9;8427;1.54;107;1913
5823;212976;36;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6207;184620;60;1;0;0;0;77917;85;19;6;1;5;53.5;8390;2.89;132;2122
6932;225504;48;1;0;0;0;94725;38;28;1;3;6;63.4;9920;2.87;130;4846
5669;71820;36;1;0;0;0;86513;38;36;5;1;5;50.5;8288;4.52;110;1460
5154;108720;60;1;0;0;0;77963;60;23;4;2;4;51.5;8546;4.02;126;3120
7168;208332;36;1;0;0;0;88884;80;26;6;2;5;46.7;8507;1.85;132;2674
5585;88608;12;2;0;0;0;125832;151;41;2;3;5;48.3;8512;4.12;102;2103
7200;31140;60;1;0;0;0;127369;31;32;13;2;7;51.2;8369;5.88;107;2807
6539;12792;12;1;0;0;0;124605;11;42;14;1;8;46.0;8772;4.98;126;3158
5774;96984;36;1;0;0;0;112065;95;19;7;1;8;69.4;11277;1.44;127;4987
6357;64860;60;1;0;0;0;85852;41;23;4;2;4;59.8;8965;8.23;104;2822
5042;331584;48;2;0;0;0;95907;87;25;5;2;7;59.1;8388;2.94;87;1668
5015;109344;12;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
5354;290820;60;1;0;0;0;95616;65;30;4;1;6;51.4;9307;4.43;118;3040
6054;58764;12;2;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
7295;280440;60;1;0;0;0;387570;0;0;0;1;1;100.0;9897;1.96;140;18696
5365;271260;60;1;0;0;0;114006;71;26;6;2;9;62.3;9065;5.39;123;4166
6755;170700;60;1;0;0;0;107911;88;33;6;2;7;50.9;8240;3.56;99;1903
5991;335184;48;1;0;0;0;106054;38;25;6;2;6;63.1;8110;6.55;109;3079
7035;210744;36;1;0;0;0;197099;29;41;10;2;10;74.7;9624;2.31;145;4265
5893;86184;36;1;0;0;0;74062;99;15;4;2;7;61.4;8114;2.62;119;1181
7164;249792;48;1;0;0;0;157042;49;70;18;0;9;33.9;8743;2.43;111;3894
5304;172272;24;1;0;0;0;161227;5;35;11;4;10;69.7;8678;5.57;102;4595
5561;437460;60;1;0;0;0;228848;15;40;18;2;6;57.2;9893;4.72;96;5887
5520;231168;48;1;0;0;0;182027;17;49;12;2;7;56.4;8746;3.74;90;4433
5241;125472;24;1;0;0;0;125236;28;11;1;4;5;87.7;9675;7.68;100;5190
7096;37812;12;1;0;0;0;67298;71;19;10;0;7;43.8;8561;1.29;110;1127
6078;170832;48;1;0;0;0;58796;22;16;7;1;5;51.9;9045;3.60;124;1879
5046;42816;12;2;0;0;0;226122;32;50;7;4;4;62.6;8994;4.79;110;9208
5334;209040;24;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6969;88200;36;2;0;0;0;127369;31;32;13;2;7;51.2;8369;5.88;107;2807
6821;321936;48;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5760;74916;36;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
5614;253560;60;1;0;0;0;119895;17;4;3;2;4;89.9;10446;9.40;90;4743
7091;113436;36;1;0;0;0;105606;77;26;7;2;7;53.0;8254;3.76;97;2325
5698;174840;60;1;0;0;0;109164;98;16;6;1;4;63.6;8757;3.95;96;2471
5169;253200;60;1;0;0;0;139012;59;41;8;3;10;61.9;8363;3.49;108;2799
7294;39168;24;1;0;0;0;94725;38;28;1;3;6;63.4;9920;2.87;130;4846
5318;385584;48;2;0;0;0;72541;66;26;10;0;8;36.9;8594;2.01;112;1525
5368;44640;24;1;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
6923;44640;24;1;0;0;0;108871;41;29;7;2;6;62.1;8444;3.47;106;2305
5463;17952;12;1;0;0;0;133777;24;17;7;3;11;84.7;8705;7.61;116;4859
5265;165780;60;1;0;0;0;145688;22;41;13;2;5;40.7;8544;1.86;109;2906
6321;38496;12;1;0;0;0;94725;38;28;1;3;6;63.4;9920;2.87;130;4846
5226;185544;36;1;0;0;0;124605;11;42;14;1;8;46.0;8772;4.98;126;3158
6868;82128;24;1;0;0;0;45714;52;10;5;1;6;55.6;8843;3.60;113;888
4967;318480;60;1;0;0;0;70646;94;14;3;1;4;58.4;8547;3.64;120;1542
5293;189792;48;1;0;0;0;162580;83;26;5;1;6;72.8;9538;1.81;111;5410
5865;327660;60;1;0;0;0;85852;41;23;4;2;4;59.8;8965;8.23;104;2822
5841;41988;12;2;0;0;0;148545;8;35;12;3;4;53.5;8909;5.56;113;3590
5526;69624;36;1;0;0;0;139012;59;41;8;3;10;61.9;8363;3.49;108;2799
6852;16032;48;1;0;0;0;105058;32;19;7;2;10;81.0;9272;3.22;118;4505
6469;99744;24;1;0;0;0;94725;38;28;1;3;6;63.4;9920;2.87;130;4846
6168;99216;36;2;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
7292;317460;60;1;0;0;0;102609;75;33;2;3;6;52.0;8187;5.45;94;2134
5036;91248;48;1;0;0;0;177686;69;27;10;1;9;74.8;10045;1.71;135;6295
5644;276084;36;1;0;0;0;1204953;0;0;0;1;1;100.0;12541;0.43;167;99107
6856;163332;36;1;0;0;0;70699;60;13;2;1;4;65.3;8968;3.35;131;1910
5428;230220;36;1;0;0;0;53921;61;22;1;1;2;41.3;8598;3.26;123;1875
5027;160920;36;1;0;0;0;85852;41;23;4;2;4;59.8;8965;8.23;104;2822
4989;352704;48;1;0;0;0;103347;87;16;7;1;7;67.0;9104;2.07;123;2354
5221;52512;12;1;0;0;0;157042;49;70;18;0;9;33.9;8743;2.43;111;3894
6402;139488;24;1;0;0;0;75232;55;26;4;1;5;41.7;8980;2.21;111;2813
5346;55632;24;1;0;0;0;285387;0;2;8;5;7;89.9;10177;7.75;81;10108
6748;240900;60;1;0;0;0;110643;49;41;4;1;4;51.9;8441;4.48;115;2252
